"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Volume","Radius","Etherm","Cv","S","qp","qm","alpha_avg","quad_avg","log_Kow","kow_vol","kow_rad"
"poly_1_2_butadiene_3M",NA,"Yes",8,0,"-469.2560293",-469.009974,-469.005925,-469.016844,-468.950576,-468.947125,-468.957829,165.106,9.33,191.082,54.033,125.013,0.144037,-0.377735,125.644333333333,-74.5769,5.01799184407317,0.0303925468733612,0.537834066888871
"poly_1_butene_3M",NA,"Yes",8,0,"-472.9594637",-472.64302,-472.637168,-472.650193,-472.580796,-472.575068,-472.587963,181.244,9.59,237.025,59.258,130.962,0.066512,-0.299266,128.694666666667,-81.9079666666667,5.98583604443474,0.0330263956017013,0.624174770014051
"poly_1_hexene_3M",NA,"Yes",8,0,"-708.8380096",-708.362292,-708.354757,-708.375098,-708.279408,-708.272239,-708.291286,237.326,10.4,349.935,88.059,174.443,0.072355,-0.334941,192.833333333333,-122.290233333333,9.34801466255455,0.0393889193032139,0.898847563707168
"poly_1_pentene_3M",NA,"Yes",8,0,"-590.899935",-590.504478,-590.497635,-590.513736,-590.431499,-590.42485,-590.440862,218.317,10.14,293.356,73.78,153.598,0.099619,-0.37899,160.744666666667,-102.222266666667,7.39945843773767,0.0338931848538486,0.729729628968212
"poly_2_3_3_3_tetrafluoropropylene_3M",NA,"Yes",8,0,"-1545.8780518",-1545.746245,-1545.746091,-1545.755422,-1545.674593,-1545.674216,-1545.683655,150.808,9.08,127.08,73.496,150.804,0.100937,-0.286087,96.4571333333333,-118.490166666667,4.28820239004618,0.0284348468917178,0.472268985687906
"poly_2_heptyl_acrylate_3M","999",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_2_octyl_acrylate_3M","999",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_3_cyclopentyl_1_propene_3M","DNF","Yes",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_3_methyl_1_butene_3M",NA,"Yes",8,0,"-590.8900579",-590.492392,-590.485851,-590.500116,-590.422427,-590.415738,-590.430001,216.811,10.12,292.851,75.474,147.253,0.094605,-0.41338,159.489333333333,-101.812433333333,6.5556968271647,0.0302369198387753,0.647796129166473
"poly_4_cyclohexyl_1_butene_3M","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_acrylonitrile_3M",NA,"Yes",8,0,"-513.795241",-513.649258,-513.668092,-513.670332,-513.594101,-513.612822,-513.615237,148.491,9.04,125.625,45.69,116.088,0.087183,-0.445628,99.2699333333333,-73.0410333333333,1.02942593010968,0.00693258130196226,0.113874549790894
"poly_butylene_succinate_3M","DNF","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_chloroprene_3M",NA,"Yes",8,0,"-1848.0646085",-1847.853822,-1847.857252,-1847.870923,-1847.782452,-1847.786407,-1847.800235,194.765,9.8,176.463,64.201,150.211,0.118447,-0.314769,164.014,-114.0176,6.28271512958797,0.032257926884132,0.641093380570201
"poly_dodecyl_methacrylate_3M","999",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethyl_acrylate_3M","DNF","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethyl_methacrylate_3M","502","Yes",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_ethylene_3M",NA,"Yes",8,0,"-237.085483",-236.927977,-236.924398,-236.932369,-236.886047,-236.882429,-236.890403,99.813,8.03,124.555,29.144,88.25,0.046194,-0.218752,88.9496333333333,-41.6260666666667,3.66319378964111,0.0367005679584935,0.456188516767262
"poly_ethylene_terephthalate_3M","DNF","Yes",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_heptafluoropropyl_ethylene_3M","DNF","Yes",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"poly_hexafluoropropylene_3M","999",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
