"chemical","error","Stat_Pt","Jobs","imag","HF","Gibbs_Gas","Gibbs_Water","Gibbs_Oct","Enthalpy_Gas","Enthalpy_Water","Enthalpy_Oct","Etherm","Cv","S","qp","alpha_avg","quad_avg"
"poly_2_3_3_3_tetrafluoropropylene_1M",NA,"Yes",8,0,"-516.0944121","-516.051963","-516.051363","-516.056162","-516.012882","-516.012189","-516.016991",50.568,23.724,82.252,0.105241,33.5766666666667,-41.0340666666667
"poly_3_cyclopentyl_1_propene_1M",NA,"Yes",8,0,"-314.4991821","-314.307714","-314.304690","-314.313655","-314.262225","-314.259089","-314.268165",148.1,33.706,95.739,0.043387,82.5957,-53.0815
"poly_3_methyl_1_butene_1M",NA,"Yes",8,0,"-197.7711306","-197.639907","-197.636346","-197.642929","-197.602088","-197.598565","-197.605133",105.484,24.885,79.597,0.086026,54.2886333333333,-34.9205666666667
"poly_4_cyclohexyl_1_butene_1M",NA,"Yes",8,0,"-393.1316724","-392.883550","-392.880082","-392.890852","-392.834244","-392.830810","-392.841504",186.047,42.653,103.775,0.051433,103.721433333333,-66.5964
"poly_ethyl_methacrylate_1M",NA,"Yes",8,0,"-386.3356332","-386.195055","-386.198969","-386.202728","-386.148520","-386.152302","-386.156317",116.823,34.318,97.941,0.083914,68.819,-50.2453
"poly_heptafluoropropyl_ethylene_1M",NA,"Yes",8,0,"-892.4287566","-892.361026","-892.355688","-892.362910","-892.309580","-892.304655","-892.311756",74.192,41.755,108.277,0.065531,54.7414,-67.1607333333333
"poly_hexafluoropropylene_1M",NA,"Yes",8,0,"-714.5530119","-714.528380","-714.528109","-714.532863","-714.485109","-714.484538","-714.489477",42.017,27.816,91.072,0.152779,34.0948666666667,-47.9022
"poly_isobutyl_methacrylate_1M",NA,"Yes",8,0,"-464.9638013","-464.771369","-464.773642","-464.779259","-464.717219","-464.720344","-464.726157",154.14,44.605,113.968,0.095851,90.1994333333333,-58.9959
"poly_isopropyl_methacrylate_1M",NA,"Yes",8,0,"-425.6532908","-425.486352","-425.489871","-425.495340","-425.436816","-425.440402","-425.445605",135.248,39.918,104.259,0.105928,79.4886,-54.5748666666667
"poly_n_butyl_acrylamide_1M",NA,"Yes",8,0,"-405.781892","-405.603255","-405.613820","-405.617754","-405.551813","-405.562804","-405.566550",143.784,39.926,108.269,0.321454,84.0178,-56.5206
"poly_n_propyl_methacrylate_1M",NA,"Yes",8,0,"-425.6494202","-425.482434","-425.486106","-425.490929","-425.432278","-425.435850","-425.440958",135.666,39.163,105.561,0.081469,79.7428666666667,-61.1426
"poly_neopentyl_methacrylate_1M",NA,"Yes",8,0,"-504.2778579","-504.058469","-504.061247","-504.067689","-504.002202","-504.005021","-504.011917",172.384,50.534,118.424,0.097538,100.9273,-66.4704666666667
"poly_sec_butyl_methacrylate_1M",NA,"Yes",8,0,"-464.9668901","-464.773464","-464.776831","-464.783193","-464.720431","-464.723676","-464.729884",154.063,44.784,111.617,0.13552,89.8987666666667,-57.5508
"poly_vinyl_chloroacetate_1M",NA,"Yes",8,0,"-767.2935512","-767.218028","-767.223879","-767.226978","-767.173835","-767.180960","-767.183985",74.531,26.605,93.011,0.154797,56.9271333333333,-51.3548333333333
"poly_vinyl_trifluoroacetate_1M",NA,"Yes",8,0,"-605.4102618","-605.350211","-605.351096","-605.354197","-605.304101","-605.304851","-605.308174",66.024,30.81,97.046,0.092858,48.3273333333333,-44.7046
